id,eblocal_id,dawa_id,change,geo_change,name,type,zip,population,longitude,latitude,municipality_id,municipality_name,created_at,updated_at
86,10743,12337669-b5a0-6b98-e053-d480220a5a3f,2022-02-09T23:50:18.800Z,2022-02-09T23:50:18.800Z,Virklund,by,8600,3507,9.54867056,56.13137199,740,Silkeborg,2022-04-03 17:46:43,2022-04-06 09:58:50
87,10326,12337669-d5b5-6b98-e053-d480220a5a3f,2020-06-26T22:59:30.931Z,2018-09-19T16:01:57.739Z,Nylukke,by,4792,8,12.20478707,54.93024378,390,Vordingborg,2022-04-03 17:46:43,2022-04-06 09:54:50
88,10782,12337669-b6c1-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Velgårde,by,8766,9,9.46464902,55.97192698,756,Ikast-Brande,2022-04-03 17:46:43,2022-04-06 09:59:01
89,10605,12337669-b6d0-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Porsbakke,by,7323,4,9.29520122,55.88892611,630,Vejle,2022-04-03 17:46:43,2022-04-06 09:57:52
90,10690,12337669-c622-6b98-e053-d480220a5a3f,2019-08-13T22:08:18.787Z,2018-09-19T16:01:57.739Z,Hobbel,by,8300,4,10.18385083,55.96810482,727,Odder,2022-04-03 17:46:43,2022-04-06 09:58:32
91,10583,12337669-b6d6-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Plovstrup,by,7160,5,9.46147624,55.87688365,766,Hedensted,2022-04-03 17:46:43,2022-04-06 09:59:07
92,10585,12337669-b6d9-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Ørnsholt,by,7173,8,9.41546672,55.88271981,630,Vejle,2022-04-03 17:46:43,2022-04-06 09:57:52
93,10885,12337669-caa7-6b98-e053-d480220a5a3f,2019-08-13T22:08:18.787Z,2018-09-19T16:01:57.739Z,Falslev Hede,by,9550,6,10.08429774,56.67325991,846,Mariagerfjord,2022-04-03 17:46:43,2022-04-06 09:59:52
94,10903,12337669-bcd1-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Løgsted Skalle,by,9670,9,9.24904046,56.93044625,820,Vesthimmerlands,2022-04-03 17:46:43,2022-04-06 09:47:38
95,10690,12337669-c623-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Kukhuse,by,8300,7,10.15722149,55.95117706,727,Odder,2022-04-03 17:46:43,2022-04-06 09:58:32
